03:47:22.769066 config: drop-rate=0.00, max-delay=100ms, seed=2387230234324
03:47:32.856057 [queue=0] packet #15, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delivered
03:47:32.856114 [queue=1] packet #16, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=11 is delayed for 0s
03:47:32.856169 [queue=2] packet #17, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=11 is delayed for 52ms
03:47:32.856211 [queue=2] packet #18, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=11 is delayed for 25ms
03:47:32.856220 [queue=2] packet #16, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=11 is delivered
03:47:32.856257 [queue=3] packet #19, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=11 is delayed for 7ms
03:47:32.856285 [queue=4] packet #20, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=9 is delayed for 80ms
03:47:32.856442 [queue=5] packet #16, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delayed for 54ms
03:47:32.863634 [queue=4] packet #19, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=11 is delivered
03:47:32.863834 [queue=5] packet #19, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delayed for 30ms
03:47:32.881658 [queue=4] packet #18, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=11 is delivered
03:47:32.881923 [queue=5] packet #18, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delayed for 93ms
03:47:32.895089 [queue=4] packet #19, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delivered
03:47:32.911748 [queue=2] packet #16, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delivered
03:47:32.911782 [queue=2] packet #17, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=11 is delivered
03:47:32.912353 [queue=3] packet #17, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delayed for 69ms
03:47:32.938219 [queue=2] packet #20, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=9 is delivered
03:47:32.938467 [queue=3] packet #20, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delayed for 70ms
03:47:32.979354 [queue=2] packet #18, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delivered
03:47:32.981635 [queue=1] packet #17, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delivered
03:47:33.012701 [queue=0] packet #20, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delivered
03:47:33.013044 [queue=1] packet #21, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=11 is delayed for 22ms
03:47:33.013106 [queue=2] packet #22, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=11 is delayed for 61ms
03:47:33.013134 [queue=3] packet #23, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=2 is delayed for 49ms
03:47:33.013157 [queue=4] packet #24, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=0 is delayed for 50ms
03:47:33.039508 [queue=3] packet #21, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=11 is delivered
03:47:33.039783 [queue=4] packet #21, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delayed for 12ms
03:47:33.052713 [queue=3] packet #21, 127.0.0.1:54172 -> 127.0.0.1:60627, sz=0 is delivered
03:47:33.064110 [queue=1] packet #23, 127.0.0.1:60627 -> 127.0.0.1:54172, sz=2 is delivered
